,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2228,PAST SALE,September-29-2017,Single Family Residential,36 Walnut Dr,Hebron,CT,6248,240000.0,3.0,1.5,Elizabeth Heights,2000.0,43560.0,1965.0,1480.0,120.0,,Sold,,,http://www.redfin.com/CT/Hebron/36-Walnut-Dr-06248/home/54032400,Smart MLS,G10234918,N,Y,41.7285867,-72.4290739
2229,PAST SALE,December-27-2017,Single Family Residential,3 Legion Dr,Vernon,CT,6066,185000.0,2.0,1.0,Vernon,1000.0,17424.0,1961.0,1391.0,185.0,,Sold,,,http://www.redfin.com/CT/Vernon/3-Legion-Dr-06066/home/54341350,Smart MLS,170027343,N,Y,41.8547245,-72.4717892
2230,PAST SALE,July-14-2017,Condo/Co-op,201 Regan Rd Unit 22D,Vernon,CT,6066,51500.0,1.0,1.0,Vernon,695.0,,1969.0,1557.0,74.0,248.0,Sold,,,http://www.redfin.com/CT/Vernon/201-Regan-Rd-06066/unit-22D/home/54342847,Smart MLS,E10225229,N,Y,41.8529385,-72.4794856
2231,PAST SALE,October-23-2017,Multi-Family (2-4 Unit),53 Main St,Somers,CT,6071,139000.0,6.0,2.0,Somers,3333.0,96267.0,1765.0,1456.0,42.0,,Sold,,,http://www.redfin.com/CT/Somers/53-Main-St-06071/home/53777155,Smart MLS,170008481,N,Y,41.9848763,-72.4948541
2232,PAST SALE,September-29-2017,Single Family Residential,71 Shaker Rd,Somers,CT,6071,225000.0,3.0,2.5,Somers,2040.0,40510.0,1972.0,1480.0,110.0,,Sold,,,http://www.redfin.com/CT/Somers/71-Shaker-Rd-06071/home/53777850,Smart MLS,170001097,N,Y,41.9897165,-72.4926293
2233,PAST SALE,August-4-2017,Single Family Residential,125 Tripp Rd,Ellington,CT,6029,435000.0,4.0,2.5,Ellington,2664.0,30491.0,1979.0,1536.0,163.0,,Sold,,,http://www.redfin.com/CT/Ellington/125-Tripp-Rd-06029/home/54249675,Smart MLS,G10227885,N,Y,41.884875,-72.5098065
2234,PAST SALE,June-20-2017,Single Family Residential,179 Four Bridges Rd,Somers,CT,6071,280000.0,4.0,2.5,Somers,2156.0,43560.0,1988.0,1581.0,130.0,,Sold,,,http://www.redfin.com/CT/Somers/179-Four-Bridges-Rd-06071/home/53776433,Smart MLS,G10208455,N,Y,41.9957461,-72.4663282
2235,PAST SALE,May-26-2017,Single Family Residential,25 Piper Ln,Somers,CT,6071,357000.0,3.0,2.5,Somers,2056.0,53578.0,2000.0,1606.0,174.0,,Sold,,,http://www.redfin.com/CT/Somers/25-Piper-Ln-06071/home/53778169,Smart MLS,G10211160,N,Y,41.9654725,-72.4468476
2236,PAST SALE,,Single Family Residential,97 Hoffman Rd,Ellington,CT,6029,340000.0,3.0,3.5,,2509.0,59677.0,2004.0,,136.0,,,,,http://www.redfin.com/CT/Ellington/97-Hoffman-Rd-06029/home/54248314,,,N,Y,41.9328549,-72.4632375
2237,PAST SALE,May-2-2017,Single Family Residential,282 Crystal Lake Rd,Ellington,CT,6029,279900.0,3.0,1.5,Ellington,2220.0,39204.0,1987.0,1630.0,126.0,,Sold,,,http://www.redfin.com/CT/Ellington/282-Crystal-Lake-Rd-06029/home/54252300,Smart MLS,G10195235,N,Y,41.910833,-72.4527949
